country,continent,population,cases_100k,deaths_100k,recoveries_100k,active_cases_100k,tests_100k
Myanmar,Asia,55227143.0,1147.66,35.29,1112.31,0.06,18001.92
Palestine,Asia,5345541.0,11617.31,101.09,11513.24,2.97,57590.67
Estonia,Europa,1321910.0,46439.7,220.29,39714.5,6504.91,276808.33
Moldova,Oceania,4013171.0,14917.7,297.84,12562.19,2057.67,80143.73
Venezuela,America do Sul,29266991.0,1884.67,19.97,1862.18,2.53,11477.14
Egypt,Africa,106156692.0,485.74,23.19,416.54,46.02,3479.17
Libya,Africa,7040745.0,7203.24,91.42,7111.76,0.06,35272.49
China,Oceania,28493261.98,19532.62,124.57,17543.05,68339.73,213157.79
Ethiopia,Africa,120812698.0,413.48,6.27,402.72,4.49,4519.23
Qatar,Asia,2979915.0,16528.46,23.02,16496.61,8.83,136425.67
Réunion,Africa,908061.0,53509.07,101.2,46095.14,7312.72,176602.67
Honduras,America do Norte,10221247.0,4605.67,108.64,17543.05,68339.73,15846.17
Armenia,Asia,2971966.0,15007.17,293.31,14642.23,71.64,109116.36
Bosnia and Herzegovina,Oceania,3249317.0,12352.87,500.26,11666.57,186.04,58003.61
Oman,Asia,5323993.0,7502.81,86.93,7225.2,190.68,469572.37
North Macedonia,Europa,2081304.0,16644.76,463.08,16173.66,8.02,106480.98
Kenya,Africa,56215221.0,609.82,10.12,599.55,0.15,7056.92
Zambia,Africa,19470234.0,1750.17,20.79,1721.11,8.28,19855.91
Albania,Oceania,2866374.0,11658.18,125.42,11476.21,56.55,67717.33
Botswana,Africa,2441162.0,13486.49,114.7,13351.59,20.2,83030.05
Luxembourg,Europa,642371.0,46352.81,176.38,44988.18,1188.25,686918.77
Montenegro,Oceania,627950.0,45601.56,445.42,45100.72,55.42,429622.42
Brunei,Oceania,445431.0,61787.35,50.51,54688.83,7048.01,161143.7
Algeria,Africa,45350148.0,598.41,15.17,402.97,180.26,509.06
Nigeria,Africa,216746934.0,122.94,1.46,119.89,1.6,2633.94
Zimbabwe,Africa,15331428.0,1706.34,36.87,1662.93,6.54,16474.37
Uzbekistan,Asia,34382084.0,728.77,4.76,702.36,21.65,4007.65
Mozambique,Africa,33089461.0,701.11,6.75,691.47,2.89,4143.7
Martinique,Oceania,374087.0,61399.35,293.25,17543.05,68339.73,221586.96
Laos,Oceania,7481023.0,2913.68,10.13,17543.05,68339.73,16484.47
Iceland,Europa,345393.0,60420.45,66.3,17543.05,68339.73,578003.61
Afghanistan,Oceania,40754388.0,511.71,19.34,456.61,35.76,2917.23
Kyrgyzstan,Asia,6728271.0,3070.51,44.45,2919.12,106.94,28345.99
El Salvador,Oceania,6550389.0,3080.5,64.58,2738.92,277.01,39846.7
Guadeloupe,Oceania,399794.0,50374.44,251.88,17543.05,68339.73,234630.58
Trinidad and Tobago,Oceania,1406585.0,13359.16,307.55,13029.0,22.61,63198.17
Maldives,Asia,540985.0,34329.05,57.49,30257.22,4014.34,409222.25
Ghana,Africa,32395450.0,528.2,4.51,523.64,0.04,7801.46
Namibia,Africa,2633874.0,6482.5,155.21,6319.66,7.63,40346.01
Uganda,Africa,48432863.0,351.83,7.49,207.36,136.97,6219.76
Jamaica,America do Norte,2985094.0,5139.1,116.58,3424.08,1598.44,39663.27
Cambodia,Asia,17168639.0,807.83,17.8,789.95,0.08,18006.2
Rwanda,Africa,13600464.0,978.57,10.79,967.31,0.46,43814.99
